review_id,category,brand,review_text,rating,true_sentiment,review_date,helpful_votes,verified_purchase,review_length,month,quarter,predicted_label,confidence_score,predicted_sentiment
REV00001,Fashion,Nike,Arrived on time. Product is as described. Nothing more.,3,neutral,2024-02-22,139,True,55,2,1,NEGATIVE,0.997026264667511,negative
REV00002,Books,Penguin,This product changed my life. So happy with my purchase!,4,positive,2024-11-04,6,True,56,11,4,POSITIVE,0.9998542070388794,positive
REV00003,Books,HarperCollins,Five stars! Perfect in every way. Couldn't be happier.,5,positive,2024-01-04,40,False,54,1,1,POSITIVE,0.9998214840888977,positive
REV00004,Automotive,Michelin,Incredible value for money. Works exactly as described.,4,positive,2024-07-13,24,False,55,7,3,POSITIVE,0.999871015548706,positive
REV00005,Automotive,WeatherTech,Absolutely love this product! Exceeded all my expectations.,5,positive,2024-10-01,31,False,59,10,4,POSITIVE,0.999882698059082,positive
REV00006,Fashion,Levi's,Fantastic experience from start to finish. Love it!,5,positive,2024-07-04,147,True,51,7,3,POSITIVE,0.999889612197876,positive
REV00007,Fashion,Nike,Works as expected. Would neither recommend nor discourage.,4,neutral,2024-04-29,25,False,58,4,2,NEGATIVE,0.88319993019104,negative
REV00008,Sports,Reebok,Functional product. Does the job. Pretty basic though.,3,neutral,2024-06-30,53,False,54,6,2,POSITIVE,0.9983128309249878,positive
REV00009,Fashion,Levi's,Mediocre product. Does what you need it to do.,4,neutral,2024-03-24,118,False,46,3,1,NEGATIVE,0.9973958730697632,negative
REV00010,Sports,New Balance,Incredible value for money. Works exactly as described.,5,positive,2024-01-29,58,True,55,1,1,POSITIVE,0.999871015548706,positive
REV00011,Automotive,Meguiar's,This product changed my life. So happy with my purchase!,5,positive,2024-10-17,80,True,56,10,4,POSITIVE,0.9998542070388794,positive
REV00012,Food & Grocery,Annie's,Complete disappointment. Expected much better quality.,1,negative,2024-03-12,63,False,54,3,1,NEGATIVE,0.9997788071632385,negative
REV00013,Books,Scholastic,This product changed my life. So happy with my purchase!,5,positive,2024-03-11,130,False,56,3,1,POSITIVE,0.9998542070388794,positive
REV00014,Fashion,Nike,"Poor quality, misleading description. Returning immediately.",2,negative,2024-12-14,108,True,60,12,4,NEGATIVE,0.9995051622390747,negative
REV00015,Books,Random House,It's fine. Not what I was hoping for but acceptable.,3,neutral,2024-10-10,2,True,52,10,4,POSITIVE,0.9996135830879211,positive
REV00016,Sports,Adidas,"Amazing product, great customer service, fast shipping!",4,positive,2024-01-02,67,True,55,1,1,POSITIVE,0.9998639822006226,positive
REV00017,Fashion,Zara,Cheap and flimsy. Fell apart immediately. Don't waste your money.,2,negative,2024-03-19,95,True,65,3,1,NEGATIVE,0.9996438026428223,negative
REV00018,Electronics,Dell,Absolutely love this product! Exceeded all my expectations.,4,positive,2024-07-04,78,True,59,7,3,POSITIVE,0.999882698059082,positive
REV00019,Electronics,Samsung,Worst purchase ever. Complete waste of money. Avoid at all costs.,1,negative,2024-09-05,17,True,65,9,3,NEGATIVE,0.9998062252998352,negative
REV00020,Home & Kitchen,Ninja,"Poor quality, misleading description. Returning immediately.",1,negative,2024-11-06,108,True,60,11,4,NEGATIVE,0.9995051622390747,negative
REV00021,Beauty,MAC,Incredible value for money. Works exactly as described.,5,positive,2024-09-21,115,True,55,9,3,POSITIVE,0.999871015548706,positive
REV00022,Beauty,Maybelline,Absolutely love this product! Exceeded all my expectations.,5,positive,2024-04-27,150,True,59,4,2,POSITIVE,0.999882698059082,positive
REV00023,Electronics,Apple,"Product is okay, does what it says. Nothing special.",3,neutral,2024-01-17,84,True,52,1,1,NEGATIVE,0.7464097142219543,neutral
REV00024,Beauty,MAC,Arrived on time. Product is as described. Nothing more.,3,neutral,2024-10-19,147,False,55,10,4,NEGATIVE,0.997026264667511,negative
REV00025,Beauty,Neutrogena,Absolutely awful. Customer service was no help at all.,1,negative,2024-12-03,110,False,54,12,4,NEGATIVE,0.999640703201294,negative
REV00026,Books,Random House,Absolutely love this product! Exceeded all my expectations.,5,positive,2024-11-26,25,True,59,11,4,POSITIVE,0.999882698059082,positive
REV00027,Books,Simon & Schuster,Worst purchase ever. Complete waste of money. Avoid at all costs.,1,negative,2024-04-07,137,False,65,4,2,NEGATIVE,0.9998062252998352,negative
REV00028,Home & Kitchen,Ninja,Exactly what I needed. Quality is top notch.,4,positive,2024-02-08,113,True,44,2,1,POSITIVE,0.9997501969337463,positive
REV00029,Electronics,Dell,Worst purchase ever. Complete waste of money. Avoid at all costs.,2,negative,2024-05-01,42,False,65,5,2,NEGATIVE,0.9998062252998352,negative
REV00030,Food & Grocery,Annie's,"Amazing product, great customer service, fast shipping!",5,positive,2024-03-25,97,True,55,3,1,POSITIVE,0.9998639822006226,positive
REV00031,Books,Simon & Schuster,Complete disappointment. Expected much better quality.,1,negative,2024-12-22,142,False,54,12,4,NEGATIVE,0.9997788071632385,negative
REV00032,Home & Kitchen,Dyson,Absolutely love this product! Exceeded all my expectations.,5,positive,2024-10-04,15,False,59,10,4,POSITIVE,0.999882698059082,positive
REV00033,Electronics,Apple,Mediocre product. Does what you need it to do.,4,neutral,2024-09-28,40,True,46,9,3,NEGATIVE,0.9973958730697632,negative
REV00034,Fashion,Adidas,Best purchase I've made this year. Highly recommend to everyone.,5,positive,2024-04-30,103,True,64,4,2,POSITIVE,0.9998515844345093,positive
REV00035,Beauty,CeraVe,Okay product. Delivery was average. Would consider alternatives.,3,neutral,2024-12-02,149,False,64,12,4,POSITIVE,0.9861683249473572,positive
REV00036,Sports,Under Armour,Functional product. Does the job. Pretty basic though.,3,neutral,2024-07-21,33,False,54,7,3,POSITIVE,0.9983128309249878,positive
REV00037,Food & Grocery,Kirkland,Worst purchase ever. Complete waste of money. Avoid at all costs.,1,negative,2024-11-14,144,True,65,11,4,NEGATIVE,0.9998062252998352,negative
REV00038,Fashion,Levi's,Five stars! Perfect in every way. Couldn't be happier.,4,positive,2024-06-27,17,True,54,6,2,POSITIVE,0.9998214840888977,positive
REV00039,Automotive,Michelin,Surprised by how good this is. Will order more.,5,positive,2024-11-09,135,True,47,11,4,POSITIVE,0.9998069405555725,positive
REV00040,Sports,Nike,"Poor quality, misleading description. Returning immediately.",1,negative,2024-02-24,141,True,60,2,1,NEGATIVE,0.9995051622390747,negative
REV00041,Sports,Adidas,Functional product. Does the job. Pretty basic though.,3,neutral,2024-11-20,67,False,54,11,4,POSITIVE,0.9983128309249878,positive
REV00042,Sports,Nike,"Amazing product, great customer service, fast shipping!",5,positive,2024-01-23,0,False,55,1,1,POSITIVE,0.9998639822006226,positive
REV00043,Home & Kitchen,Instant Pot,Exactly what I needed. Quality is top notch.,5,positive,2024-08-06,143,True,44,8,3,POSITIVE,0.9997501969337463,positive
REV00044,Fashion,Nike,"Poor quality, misleading description. Returning immediately.",1,negative,2024-07-08,149,True,60,7,3,NEGATIVE,0.9995051622390747,negative
REV00045,Books,HarperCollins,Incredible value for money. Works exactly as described.,5,positive,2024-01-21,91,True,55,1,1,POSITIVE,0.999871015548706,positive
REV00046,Beauty,L'Oreal,Surprised by how good this is. Will order more.,5,positive,2024-07-27,39,True,47,7,3,POSITIVE,0.9998069405555725,positive
REV00047,Home & Kitchen,Dyson,Terrible product. Broke after one week of use. Very disappointed.,1,negative,2024-06-19,105,True,65,6,2,NEGATIVE,0.9998026490211487,negative
REV00048,Sports,Under Armour,Average quality. Works fine but nothing to write home about.,3,neutral,2024-01-20,120,True,60,1,1,NEGATIVE,0.9914780259132385,negative
REV00049,Beauty,Neutrogena,This product changed my life. So happy with my purchase!,4,positive,2024-12-03,49,False,56,12,4,POSITIVE,0.9998542070388794,positive
REV00050,Automotive,Michelin,Do NOT buy this. Stopped working after a few days.,1,negative,2024-09-17,102,False,50,9,3,NEGATIVE,0.9997135996818542,negative
REV00051,Electronics,Apple,Do NOT buy this. Stopped working after a few days.,1,negative,2024-05-15,9,True,50,5,2,NEGATIVE,0.9997135996818542,negative
REV00052,Books,Simon & Schuster,Functional product. Does the job. Pretty basic though.,3,neutral,2024-09-18,29,False,54,9,3,POSITIVE,0.9983128309249878,positive
REV00053,Beauty,MAC,"Amazing product, great customer service, fast shipping!",4,positive,2024-10-02,50,False,55,10,4,POSITIVE,0.9998639822006226,positive
REV00054,Books,Penguin,Horrible experience. Product looks nothing like the photos.,2,negative,2024-12-05,31,False,59,12,4,NEGATIVE,0.9995336532592773,negative
REV00055,Sports,Reebok,Five stars! Perfect in every way. Couldn't be happier.,5,positive,2024-04-08,107,False,54,4,2,POSITIVE,0.9998214840888977,positive
REV00056,Home & Kitchen,Cuisinart,Standard quality. Meets basic requirements.,3,neutral,2024-01-01,77,False,43,1,1,POSITIVE,0.9993390440940857,positive
REV00057,Beauty,Neutrogena,Okay product. Delivery was average. Would consider alternatives.,3,neutral,2024-08-26,113,False,64,8,3,POSITIVE,0.9861683249473572,positive
REV00058,Beauty,CeraVe,Outstanding quality and fast delivery. Will definitely buy again.,5,positive,2024-05-25,131,False,65,5,2,POSITIVE,0.9998725652694702,positive
REV00059,Fashion,Adidas,Arrived on time. Product is as described. Nothing more.,4,neutral,2024-03-16,6,True,55,3,1,NEGATIVE,0.997026264667511,negative
REV00060,Beauty,Neutrogena,Average quality. Works fine but nothing to write home about.,3,neutral,2024-11-18,147,True,60,11,4,NEGATIVE,0.9914780259132385,negative
REV00061,Books,Random House,Outstanding quality and fast delivery. Will definitely buy again.,5,positive,2024-01-03,27,False,65,1,1,POSITIVE,0.9998725652694702,positive
REV00062,Beauty,Maybelline,Cheap and flimsy. Fell apart immediately. Don't waste your money.,1,negative,2024-10-12,63,True,65,10,4,NEGATIVE,0.9996438026428223,negative
REV00063,Food & Grocery,Trader Joe's,Cheap and flimsy. Fell apart immediately. Don't waste your money.,2,negative,2024-10-31,81,False,65,10,4,NEGATIVE,0.9996438026428223,negative
REV00064,Books,Scholastic,Outstanding quality and fast delivery. Will definitely buy again.,5,positive,2024-08-31,115,False,65,8,3,POSITIVE,0.9998725652694702,positive
REV00065,Beauty,MAC,Mediocre product. Does what you need it to do.,3,neutral,2024-05-02,70,False,46,5,2,NEGATIVE,0.9973958730697632,negative
REV00066,Fashion,Zara,Incredible value for money. Works exactly as described.,5,positive,2024-10-03,20,True,55,10,4,POSITIVE,0.999871015548706,positive
REV00067,Home & Kitchen,Dyson,Outstanding quality and fast delivery. Will definitely buy again.,5,positive,2024-02-02,106,False,65,2,1,POSITIVE,0.9998725652694702,positive
REV00068,Automotive,WeatherTech,Absolutely love this product! Exceeded all my expectations.,4,positive,2024-08-03,99,True,59,8,3,POSITIVE,0.999882698059082,positive
REV00069,Books,Random House,Incredible value for money. Works exactly as described.,4,positive,2024-07-18,107,True,55,7,3,POSITIVE,0.999871015548706,positive
REV00070,Food & Grocery,Trader Joe's,Exactly what I needed. Quality is top notch.,4,positive,2024-06-21,103,True,44,6,2,POSITIVE,0.9997501969337463,positive
REV00071,Food & Grocery,Trader Joe's,Cheap and flimsy. Fell apart immediately. Don't waste your money.,1,negative,2024-07-20,144,True,65,7,3,NEGATIVE,0.9996438026428223,negative
REV00072,Fashion,H&M,Exactly what I needed. Quality is top notch.,4,positive,2024-05-13,97,False,44,5,2,POSITIVE,0.9997501969337463,positive
REV00073,Beauty,Neutrogena,"Amazing product, great customer service, fast shipping!",4,positive,2024-08-03,64,True,55,8,3,POSITIVE,0.9998639822006226,positive
REV00074,Food & Grocery,Whole Foods,"Product is okay, does what it says. Nothing special.",4,neutral,2024-06-28,57,True,52,6,2,NEGATIVE,0.7464097142219543,neutral
REV00075,Electronics,Apple,Absolutely awful. Customer service was no help at all.,2,negative,2024-11-14,39,True,54,11,4,NEGATIVE,0.999640703201294,negative
REV00076,Home & Kitchen,Ninja,Okay product. Delivery was average. Would consider alternatives.,4,neutral,2024-08-26,65,False,64,8,3,POSITIVE,0.9861683249473572,positive
REV00077,Home & Kitchen,Cuisinart,Average quality. Works fine but nothing to write home about.,4,neutral,2024-03-24,79,True,60,3,1,NEGATIVE,0.9914780259132385,negative
REV00078,Electronics,Sony,Standard quality. Meets basic requirements.,3,neutral,2024-04-11,19,True,43,4,2,POSITIVE,0.9993390440940857,positive
REV00079,Fashion,Zara,Terrible quality control. Mine arrived broken. Very unhappy.,2,negative,2024-10-16,10,False,60,10,4,NEGATIVE,0.9997050166130066,negative
REV00080,Books,Simon & Schuster,Incredible value for money. Works exactly as described.,4,positive,2024-08-03,125,True,55,8,3,POSITIVE,0.999871015548706,positive
REV00081,Books,Simon & Schuster,It's fine. Not what I was hoping for but acceptable.,4,neutral,2024-08-10,45,False,52,8,3,POSITIVE,0.9996135830879211,positive
REV00082,Food & Grocery,Annie's,Fantastic experience from start to finish. Love it!,4,positive,2024-05-05,22,False,51,5,2,POSITIVE,0.999889612197876,positive
REV00083,Food & Grocery,Trader Joe's,Okay product. Delivery was average. Would consider alternatives.,3,neutral,2024-07-13,86,True,64,7,3,POSITIVE,0.9861683249473572,positive
REV00084,Food & Grocery,Kirkland,This product changed my life. So happy with my purchase!,5,positive,2024-05-12,87,False,56,5,2,POSITIVE,0.9998542070388794,positive
REV00085,Sports,New Balance,This product changed my life. So happy with my purchase!,4,positive,2024-07-27,125,True,56,7,3,POSITIVE,0.9998542070388794,positive
REV00086,Food & Grocery,Annie's,Absolutely love this product! Exceeded all my expectations.,4,positive,2024-04-23,103,True,59,4,2,POSITIVE,0.999882698059082,positive
REV00087,Sports,New Balance,Surprised by how good this is. Will order more.,5,positive,2024-08-05,140,False,47,8,3,POSITIVE,0.9998069405555725,positive
REV00088,Automotive,Meguiar's,Five stars! Perfect in every way. Couldn't be happier.,4,positive,2024-04-08,80,True,54,4,2,POSITIVE,0.9998214840888977,positive
REV00089,Home & Kitchen,Dyson,Exactly what I needed. Quality is top notch.,4,positive,2024-10-28,134,False,44,10,4,POSITIVE,0.9997501969337463,positive
